subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 1 1.2 first first 14 1 1 8 5.28 0.255611181259155 0 0 1 1
lala 1 1.2 first second 17 1 2 6.6 8.778 7.9779372215271 0.25 1 -1 1
lala 1 1.2 second second 24 1 3 6.6 4.356 2.61119842529297 1 0 1 1
lala 1 1.2 second second 3 1 4 8 10.64 0.877841711044312 -1 1 1 1
lala 1 1.2 second second 30 1 5 8 5.28 1.35562586784363 2 0 1 0
lala 1 1.2 first first 15 1 6 8 10.64 0.988954305648804 0 1 1 1
lala 2 1.2 first second 30 1 7 8 4.08 0.733395338058472 2 0 -1 0
lala 1 1.2 first second 28 1 8 6.6 4.356 0.688950300216675 2 0 -1 0
lala 1 1.2 first first 23 1 9 8 10.64 0.866730451583862 0.5 1 1 1
lala 1 1.2 first second 16 1 10 6.6 4.356 0.922286748886108 0.25 0 -1 1
lala 2 1.2 first first 15 1 11 8 9.440001 4.44455623626709 0 1 1 0
lala 1 1.2 second first 12 1 12 6.6 4.356 0.888952970504761 0 0 -1 0
lala 1 1.2 second second 21 1 13 6.6 8.778 0.733395338058472 0.5 1 1 0
lala 1 1.2 second first 10 1 14 8 5.28 1.53340601921082 -0.25 0 -1 0
lala 1 1.2 first first 11 1 15 8 10.64 1.67785263061523 -0.25 1 1 0
lala 2 1.2 first second 24 1 16 6.6 3.156 3.42232036590576 1 0 -1 0
lala 3 1.2 first first 30 1 17 8 5.28 2.38897323608398 2 0 1 1
lala 2 1.2 first second 14 1 18 8 4.08 1.41118216514587 0 0 -1 1
lala 1 1.2 first first 20 1 19 6.6 4.356 1.17784571647644 0.5 0 1 1
lala 1 1.2 first first 5 1 20 6.6 8.778 0.811174154281616 -0.5 1 1 1
lala 1 1.2 second first 9 1 21 6.6 8.778 1.00006556510925 -0.25 1 -1 0
lala 1 1.2 second first 4 1 22 6.6 4.356 1.06673312187195 -0.5 0 -1 1
lala 3 1.2 second second 14 1 23 8 5.28 0.655616521835327 0 0 1 1
lala 2 1.2 second second 16 1 24 6.6 5.556 2.68897724151611 0.25 0 1 1
lala 2 1.2 first first 9 1 25 6.6 9.978 0.722284078598022 -0.25 1 1 1
lala 3 1.2 second first 9 1 26 6.6 8.778 1.73340892791748 -0.25 1 -1 1
lala 2 1.2 second first 20 1 27 6.6 3.156 2.51119709014893 0.5 0 -1 1
lala 1 1.2 second second 27 1 28 8 10.64 0.733395338058472 1 1 1 1
lala 2 1.2 first first 11 1 29 8 9.440001 1.55562853813171 -0.25 1 1 0
lala 3 1.2 first second 16 1 30 6.6 4.356 0.811174154281616 0.25 0 -1 1
lala 1 1.2 first first 31 1 31 8 10.64 1.34451460838318 2 1 1 0
lala 1 1.2 first first 29 1 32 6.6 8.778 0.588948965072632 2 1 1 0
lala 1 1.2 first first 8 1 33 6.6 4.356 1.02228808403015 -0.25 0 1 0
lala 2 1.2 second second 3 1 34 8 9.440001 0.700061559677124 -1 1 1 0
lala 2 1.2 first second 29 1 35 6.6 7.578 0.455613851547241 2 1 -1 0
lala 4 1.2 first first 9 1 36 6.6 9.978 0.577837705612183 -0.25 1 1 0
lala 4 1.2 second first 16 1 37 6.6 5.556 0.777840375900269 0.25 0 -1 0
lala 3 1.2 first second 20 1 38 6.6 4.356 0.711172819137573 0.5 0 -1 1
lala 1 1.2 first second 26 1 39 8 5.28 0.844507932662964 1 0 -1 0
lala 1 1.2 first second 0 1 40 6.6 4.356 2.52230834960938 -1 0 -1 1
lala 2 1.2 second second 27 1 41 8 9.440001 0.766729116439819 1 1 1 1
lala 1 1.2 first first 22 1 42 8 5.28 1.95563411712646 0.5 0 1 1
lala 2 1.2 second second 23 1 43 8 9.440001 0.288944959640503 0.5 1 1 0
lala 1 1.2 first first 1 1 44 6.6 8.778 0.266722440719604 -1 1 1 0
lala 1 1.2 second second 2 1 45 8 5.28 2.58897590637207 -1 0 1 1
lala 5 0.6 first first 9 1 46 6.6 9.377999 0.866730451583862 -0.25 1 1 1
lala 3 1.2 second second 3 1 47 8 8.240001 5.84457540512085 -1 1 1 0
lala 4 1.2 second first 3 1 48 8 7.040001 1.04451060295105 -1 1 -1 0
lala 3 1.2 second second 29 1 49 6.6 8.778 0.511170148849487 2 1 1 0
lala 3 1.2 second second 11 1 50 8 8.240001 1.57785105705261 -0.25 1 1 0
lala 1 1.2 first first 13 1 51 6.6 8.778 0.700061559677124 0 1 1 0
lala 1 1.2 first first 25 1 52 6.6 8.778 1.14451193809509 1 1 1 0
lala 5 0.6 first second 3 1 53 8 7.640001 1.11117815971375 -1 1 -1 0
lala 1 1.2 first second 18 1 54 8 5.28 2.11119174957275 0.25 0 -1 1
lala 2 1.2 first first 21 1 55 6.6 7.578 0.944509267807007 0.5 1 1 0
lala 2 1.2 second first 22 1 56 8 4.08 0.255611181259155 0.5 0 -1 1
lala 2 1.2 first first 5 1 57 6.6 7.578 2.35563945770264 -0.5 1 1 1
lala 5 1.2 second second 16 1 58 6.6 6.756 2.9112024307251 0.25 0 1 1
lala 3 1.2 first second 22 1 59 8 5.28 0.433391332626343 0.5 0 -1 1
lala 2 1.2 first first 13 1 60 6.6 7.578 0.722284078598022 0 1 1 1
lala 4 1.2 first first 11 1 61 8 7.040001 2.1223030090332 -0.25 1 1 0
lala 2 1.2 first second 0 1 62 6.6 5.556 0.822285413742065 -1 0 -1 1
lala 2 1.2 first first 26 1 63 8 6.48 1.55562853813171 1 0 1 0
lala 2 1.2 second second 10 1 64 8 6.48 2.31119441986084 -0.25 0 1 0
lala 1 1.2 first second 6 1 65 8 5.28 0.622282743453979 -0.5 0 -1 1
lala 2 1.2 first second 4 1 66 6.6 5.556 0.644505262374878 -0.5 0 -1 0
lala 2 1.2 first second 2 1 67 8 4.08 0.744506597518921 -1 0 -1 0
lala 4 1.2 first second 30 1 68 8 4.08 0.422280073165894 2 0 -1 0
lala 3 1.2 first first 4 1 69 6.6 6.756 0.577837705612183 -0.5 0 1 1
lala 3 1.2 second first 24 1 70 6.6 4.356 0.888952970504761 1 0 -1 0
lala 3 1.2 second first 13 1 71 6.6 6.378 2.28897190093994 0 1 -1 1
lala 4 1.2 second first 24 1 72 6.6 5.556 1.91118907928467 1 0 -1 0
lala 4 1.2 first second 14 1 73 8 4.08 1.66674137115479 0 0 -1 1
lala 6 0.6 second first 16 1 74 6.6 6.156 0.911175489425659 0.25 0 -1 1
lala 4 1.2 first first 22 1 75 8 6.48 1.64451885223389 0.5 0 1 1
lala 3 1.2 first first 23 1 76 8 8.240001 1.13340067863464 0.5 1 1 0
lala 3 1.2 first first 5 1 77 6.6 6.378 0.75561785697937 -0.5 1 1 1
lala 4 1.2 second second 13 1 78 6.6 7.578 0.888952970504761 0 1 1 0
lala 2 1.2 second first 12 1 79 6.6 5.556 3.12231636047363 0 0 -1 0
lala 4 1.2 second second 23 1 80 8 7.040001 1.48896098136902 0.5 1 1 1
lala 3 1.2 first first 15 1 81 8 8.240001 3.78899192810059 0 1 1 0
lala 2 1.2 second first 25 1 82 6.6 7.578 1.91118907928467 1 1 -1 1
lala 3 1.2 second first 10 1 83 8 5.280001 2.38897323608398 -0.25 0 -1 0
lala 3 1.2 second second 12 1 84 6.6 6.756 170.056283473969 0 0 1 1
lala 5 0.6 first first 22 1 85 8 5.88 2.53341960906982 0.5 0 1 1
lala 4 1.2 second first 15 1 86 8 7.040001 1.43340468406677 0 1 -1 0
lala 2 1.2 first second 6 1 87 8 6.48 0.511170148849487 -0.5 0 -1 0
lala 2 1.2 second second 31 1 88 8 9.440001 0.46672511100769 2 1 1 1
lala 3 1.2 first first 6 1 89 8 7.68 0.18894362449646 -0.5 0 1 1
lala 3 1.2 second second 26 1 90 8 5.280001 2.31119441986084 1 0 1 0
lala 5 0.6 second second 30 1 91 8 4.68 1.27784705162048 2 0 1 1
