subject trial ReactionTime Judgement velH_Subject
lala 1 16.9336605072021 -0.02000007 1
lala 2 15.6224517822266 -1.02 -1
lala 3 3.2000629901886 -1.02 -0.5
lala 4 5.32231378555298 0 -0.25
lala 5 3.1333954334259 1.019999 -0.25
lala 6 3.14450669288635 0.9399992 0.25
lala 7 4.48896932601929 0.8799992 -1
lala 8 1.21113920211792 -1.02 0.5
lala 9 1.31114161014557 1.019999 1
lala 10 2.28893971443176 -1 -0.5
lala 11 1.07780265808105 1.02 0.25
lala 12 0.988911628723145 -1.02 0.5
lala 13 1.64448297023773 0 0.25
lala 14 2.84450268745422 -0.4999996 0.5
lala 15 3.68895840644836 0.3 -0.25
lala 16 4.62230443954468 -1.019999 1
lala 17 2.32227349281311 -1.019999 -0.5
lala 18 1.377809882164 1.02 0.25
lala 19 8.7223596572876 -0.04000005 -1
lala 20 2.4778311252594 -1.019999 0.5
lala 21 1.08891403675079 1.02 -0.25
lala 22 1.24447333812714 0 1
lala 23 1.16669368743896 -1.019999 -0.5
