subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first second 0 1 1 4 2.64 0.633394002914429 0 0 -1
lala 2 1.2 first first 0 1 2 4 3.84 0.0333859920501709 0 0 1
lala 3 1.2 first first 0 1 3 4 2.64 2.25563812255859 0 0 1
lala 4 1.2 second first 0 1 4 4 1.44 0.322278738021851 0 0 -1
lala 5 0.6 first second 0 1 5 4 2.04 0.911175489425659 0 0 -1
lala 6 0.6 first second 0 1 6 4 2.64 1.77785396575928 0 0 -1
lala 7 0.6 first first 0 1 7 4 3.24 1.00006556510925 0 0 1
lala 8 0.3 second second 0 1 8 4 2.94 2.03341293334961 0 0 1
lala 9 0.3 first first 0 1 9 4 2.64 1.62229633331299 0 0 1
lala 10 0.3 second second 0 1 10 4 2.34 0.533392667770386 0 0 1
lala 11 0.6 first first 0 1 11 4 1.74 0.677839040756226 0 0 1
lala 12 1.2 first second 0 1 12 4 0.5399998 3.76676940917969 0 0 -1
lala 13 0.6 second first 0 1 13 4 1.14 0.600060224533081 0 0 -1
lala 14 0.6 second second 0 1 14 4 1.74 0.677839040756226 0 0 1
lala 15 0.3 second first 0 1 15 4 1.44 1.48896098136902 0 0 -1
lala 16 0.15 first second 0 1 16 4 1.59 0.600060224533081 0 0 -1
lala 17 0.15 second second 0 1 17 4 1.74 1.08895564079285 0 0 1
lala 18 0.075 second first 0 1 18 4 1.665 0.988954305648804 0 0 -1
lala 19 0.0375 first first 0 1 19 4 1.7025 1.52229475975037 0 0 1
lala 20 0.01875 second second 0 1 20 4 1.68375 0.644505262374878 0 0 1
lala 21 0.01875 first second 0 1 21 4 1.665 1.0111768245697 0 0 -1
lala 22 0.009375 second first 0 1 22 4 1.674375 0.177832365036011 0 0 -1
lala 23 0.009375 first second 0 1 23 4 1.68375 1.71118640899658 0 0 -1
lala 24 0.009375 first first 0 1 24 4 1.693125 1.74452018737793 0 0 1
lala 25 0.0046875 second second 0 1 25 4 1.688437 0.300056219100952 0 0 1
lala 26 0.0046875 second second 0 1 26 4 1.68375 0.500058889389038 0 0 1
