subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 second first 4 1 1 6.6 4.356 4.83999395370483 -0.2 0 -1
lala 1 1.2 first second 14 1 2 8 5.28 0.659997701644897 0 0 -1
lala 1 1.2 second second 15 1 3 8 10.64 0.419997930526733 0 1 1
lala 1 1.2 second first 11 1 4 -6.6 -8.778 0.379997968673706 0 1 -1
lala 1 1.2 first first 17 1 5 -8 -10.64 0.379997968673706 0.2 1 1
lala 1 1.2 first second 22 1 6 8 5.28 1.79999685287476 0.2 0 -1
lala 1 1.2 second first 20 1 7 6.6 4.356 0.859997510910034 0.2 0 -1
lala 2 1.2 second first 14 1 8 8 6.48 2.43999624252319 0 0 -1
lala 1 1.2 first first 19 1 9 -6.6 -8.778 0.599997758865356 0.2 1 1
lala 1 1.2 first first 1 1 10 -8 -10.64 0.579997777938843 -0.2 1 1
lala 1 1.2 second first 2 1 11 -6.6 -4.356 0.119998216629028 -0.2 0 -1
lala 2 1.2 first second 2 1 12 -6.6 -5.556 1.75999689102173 -0.2 0 -1
lala 2 1.2 first first 17 1 13 -8 -9.440001 0.599997758865356 0.2 1 1
lala 1 1.2 first second 10 1 14 -6.6 -4.356 1.41999697685242 0 0 -1
lala 2 1.2 first second 4 1 15 6.6 5.556 0.499997854232788 -0.2 0 -1
lala 2 1.2 first first 15 1 16 8 9.440001 1.47999691963196 0 1 1
lala 3 1.2 second second 14 1 17 8 7.68 0.379997968673706 0 0 1
lala 1 1.2 second first 12 1 18 6.6 4.356 0.759997606277466 0 0 -1
lala 1 1.2 first first 9 1 19 -8 -10.64 0.779997587203979 0 1 1
lala 2 1.2 second second 22 1 20 8 6.48 0.419997930526733 0.2 0 1
lala 2 1.2 first second 10 1 21 -6.6 -5.556 1.01999735832214 0 0 -1
lala 3 1.2 first second 4 1 22 6.6 6.756 3.31999540328979 -0.2 0 -1
lala 1 1.2 first second 18 1 23 -6.6 -4.356 0.599997758865356 0.2 0 -1
lala 2 1.2 first first 9 1 24 -8 -9.440001 0.159998178482056 0 1 1
lala 2 1.2 second first 19 1 25 -6.6 -7.578 3.39999532699585 0.2 1 -1
lala 2 1.2 first first 18 1 26 -6.6 -5.556 0.899997472763062 0.2 0 1
lala 1 1.2 second first 6 1 27 8 5.28 0.299998044967651 -0.2 0 -1
lala 1 1.2 first first 23 1 28 8 10.64 0.539997816085815 0.2 1 1
lala 1 1.2 second second 5 1 29 6.6 8.778 0.319998025894165 -0.2 1 1
lala 2 1.2 first first 23 1 30 8 9.440001 0.559997797012329 0.2 1 1
lala 2 1.2 first first 12 1 31 6.6 5.556 2.67999601364136 0 0 1
lala 2 1.2 first first 6 1 32 8 6.48 0.779997587203979 -0.2 0 1
lala 2 1.2 second second 11 1 33 -6.6 -9.978 0.299998044967651 0 1 1
lala 4 1.2 first first 4 1 34 6.6 7.955999 0.539997816085815 -0.2 0 1
