subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 second second 17 1 1 -8 -10.64 2.11999654769897 0.25 1 1
lala 1 1.2 first first 1 1 2 -8 -10.64 1.07999730110168 -0.25 1 1
lala 1 1.2 first first 9 1 3 -8 -10.64 2.25999641418457 0 1 1
lala 1 1.2 second second 18 1 4 -6.6 -4.356 3.27999544143677 0.25 0 1
lala 1 1.2 first second 16 1 5 -8 -5.28 1.95999670028687 0.25 0 -1
lala 2 1.2 first second 16 1 6 -8 -6.48 5.83999872207642 0.25 0 -1
lala 1 1.2 second second 19 1 7 -6.6 -8.778 1.25999712944031 0.25 1 1
lala 2 1.2 second first 18 1 8 -6.6 -3.156 0.919997453689575 0.25 0 -1
lala 2 1.2 second second 9 1 9 -8 -9.440001 1.03999733924866 0 1 1
lala 1 1.2 first first 5 1 10 6.6 8.778 0.979997396469116 -0.25 1 1
lala 1 1.2 second second 13 1 11 6.6 8.778 2.47999620437622 0 1 1
lala 1 1.2 second first 0 1 12 -8 -5.28 6.00000238418579 -0.25 0 -1
lala 3 1.2 second first 9 1 13 -8 -8.240001 32.2206015586853 0 1 -1
lala 2 1.2 second first 5 1 14 6.6 7.578 10.5401062965393 -0.25 1 -1
lala 1 1.2 first second 11 1 15 -6.6 -8.778 1.0999972820282 0 1 -1
lala 4 1.2 first first 9 1 16 -8 -9.440001 0.919997453689575 0 1 1
lala 2 1.2 second second 1 1 17 -8 -9.440001 0.939997434616089 -0.25 1 1
lala 1 1.2 second second 7 1 18 8 10.64 1.97999668121338 -0.25 1 1
lala 1 1.2 second first 10 1 19 -6.6 -4.356 3.0399956703186 0 0 -1
lala 3 1.2 second second 1 1 20 -8 -8.240001 1.79999685287476 -0.25 1 1
lala 2 1.2 first first 11 1 21 -6.6 -9.978 0.919997453689575 0 1 1
lala 2 1.2 first first 7 1 22 8 9.440001 1.69999694824219 -0.25 1 1
lala 3 1.2 second first 7 1 23 8 8.240001 4.69999408721924 -0.25 1 -1
lala 2 1.2 second second 17 1 24 -8 -9.440001 1.63999700546265 0.25 1 1
lala 1 1.2 first second 6 1 25 8 5.28 0.799997568130493 -0.25 0 -1
lala 1 1.2 second first 22 1 26 8 5.28 4.67999410629272 0.25 0 -1
lala 1 1.2 second first 12 1 27 6.6 4.356 0.899997472763062 0 0 -1
lala 1 1.2 first first 23 1 28 8 10.64 3.49999523162842 0.25 1 1
lala 2 1.2 second second 23 1 29 8 9.440001 1.21999716758728 0.25 1 1
lala 4 1.2 second first 1 1 30 -8 -7.040001 4.35999441146851 -0.25 1 -1
lala 2 1.2 first first 0 1 31 -8 -6.48 3.41999530792236 -0.25 0 1
lala 2 1.2 second first 6 1 32 8 6.48 1.65999698638916 -0.25 0 -1
