subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Response_MotionEstimation
lala 1 1.2 second first 2 1 1 -6.6 -4.62 0.639997720718384 -0.25 -1
lala 1 1.2 second second 13 1 2 6.6 8.58 0.899997472763062 0 1
lala 1 1.2 second first 20 1 3 6.6 4.62 0.319998025894165 0.25 -1
lala 1 1.2 first second 14 1 4 8 5.6 0.779997587203979 0 -1
lala 1 1.2 second first 12 1 5 6.6 4.62 0.61999773979187 0 -1
lala 1 1.2 second first 16 1 6 -8 -5.6 0.459997892379761 0.25 -1
lala 2 1.2 second first 2 1 7 -6.6 -5.82 1.43999695777893 -0.25 -1
lala 1 1.2 first second 4 1 8 6.6 4.62 0.61999773979187 -0.25 -1
lala 1 1.2 second first 22 1 9 8 5.6 0.639997720718384 0.25 -1
lala 1 1.2 second second 21 1 10 6.6 8.58 0.559997797012329 0.25 1
lala 1 1.2 first first 8 1 11 -8 -5.6 0.559997797012329 0 1
lala 2 1.2 first second 8 1 12 -8 -4.4 1.21999716758728 0 -1
lala 1 1.2 second first 10 1 13 -6.6 -4.62 0.519997835159302 0 -1
lala 2 1.2 first first 20 1 14 6.6 5.82 0.799997568130493 0.25 1
lala 2 1.2 second second 4 1 15 6.6 5.82 3.55999517440796 -0.25 1
lala 1 1.2 first second 19 1 16 -6.6 -8.58 1.45999693870544 0.25 -1
lala 1 1.2 first second 0 1 17 -8 -5.6 0.699997663497925 -0.25 -1
lala 1 1.2 first first 5 1 18 6.6 8.58 0.439997911453247 -0.25 1
lala 1 1.2 second second 23 1 19 8 10.4 0.479997873306274 0.25 1
lala 2 1.2 second second 12 1 20 6.6 5.82 2.09999656677246 0 1
lala 1 1.2 second first 18 1 21 -6.6 -4.62 0.599997758865356 0.25 -1
lala 1 1.2 second second 1 1 22 -8 -10.4 0.599997758865356 -0.25 1
lala 2 1.2 first first 19 1 23 -6.6 -9.78 0.759997606277466 0.25 1
lala 2 1.2 second second 23 1 24 8 9.2 0.699997663497925 0.25 1
lala 3 1.2 first first 23 1 25 8 8 0.599997758865356 0.25 1
lala 1 1.2 second second 11 1 26 -6.6 -8.58 1.79999685287476 0 1
lala 2 1.2 second second 14 1 27 8 6.8 1.01999735832214 0 1
lala 3 1.2 first second 12 1 28 6.6 4.62 1.11999726295471 0 -1
lala 2 1.2 second second 1 1 29 -8 -9.2 0.61999773979187 -0.25 1
lala 3 1.2 first second 8 1 30 -8 -5.599999 0.939997434616089 0 -1
lala 1 1.2 first first 7 1 31 8 10.4 0.959997415542603 -0.25 1
lala 2 1.2 second second 16 1 32 -8 -6.8 0.439997911453247 0.25 1
lala 3 1.2 first second 14 1 33 8 5.6 1.29999709129334 0 -1
lala 3 1.2 second first 1 1 34 -8 -8 0.879997491836548 -0.25 -1
lala 2 1.2 second second 5 1 35 6.6 7.38 0.899997472763062 -0.25 1
lala 1 1.2 first first 15 1 36 8 10.4 0.419997930526733 0 1
lala 2 1.2 first first 22 1 37 8 6.8 0.819997549057007 0.25 1
lala 1 1.2 first first 3 1 38 -6.6 -8.58 0.379997968673706 -0.25 1
lala 3 1.2 first second 4 1 39 6.6 4.62 0.639997720718384 -0.25 -1
lala 4 1.2 first first 1 1 40 -8 -9.2 0.799997568130493 -0.25 1
lala 3 1.2 first first 2 1 41 -6.6 -7.02 25.5204482078552 -0.25 1
lala 4 1.2 first second 4 1 42 6.6 5.82 0.959997415542603 -0.25 -1
lala 2 1.2 second first 10 1 43 -6.6 -5.82 0.459997892379761 0 -1
lala 2 1.2 first first 3 1 44 -6.6 -7.38 0.579997777938843 -0.25 1
lala 2 1.2 first first 11 1 45 -6.6 -7.38 0.479997873306274 0 1
lala 1 1.2 first first 9 1 46 -8 -10.4 0.379997968673706 0 1
lala 4 1.2 first second 8 1 47 -8 -6.799999 2.71999597549438 0 -1
lala 3 1.2 first first 5 1 48 6.6 6.18 0.819997549057007 -0.25 1
lala 4 1.2 first first 14 1 49 8 6.8 0.759997606277466 0 1
lala 5 0.6 second second 1 1 50 -8 -8.599999 0.499997854232788 -0.25 1
lala 2 1.2 second second 0 1 51 -8 -6.8 0.659997701644897 -0.25 1
lala 2 1.2 first first 13 1 52 6.6 7.38 0.939997434616089 0 1
lala 5 0.6 first first 14 1 53 8 6.2 0.579997777938843 0 1
lala 3 1.2 first first 19 1 54 -6.6 -8.58 0.559997797012329 0.25 1
lala 4 1.2 first first 12 1 55 6.6 5.82 0.419997930526733 0 1
lala 2 1.2 first first 15 1 56 8 9.2 0.61999773979187 0 1
lala 3 1.2 second first 16 1 57 -8 -5.6 1.01999735832214 0.25 -1
lala 3 1.2 first first 15 1 58 8 8 0.939997434616089 0 1
lala 1 1.2 first second 6 1 59 8 5.6 0.659997701644897 -0.25 -1
lala 3 1.2 first second 3 1 60 -6.6 -6.18 1.57999682426453 -0.25 -1
lala 2 1.2 second second 18 1 61 -6.6 -5.82 0.939997434616089 0.25 1
lala 4 1.2 second second 16 1 62 -8 -6.8 0.839997529983521 0.25 1
lala 2 1.2 first first 7 1 63 8 9.2 1.51999688148499 -0.25 1
lala 3 1.2 second first 20 1 64 6.6 4.62 0.539997816085815 0.25 -1
lala 4 1.2 first second 2 1 65 -6.6 -5.82 0.61999773979187 -0.25 -1
lala 3 1.2 second second 10 1 66 -6.6 -7.02 0.459997892379761 0 1
lala 4 1.2 first first 15 1 67 8 6.8 1.25999712944031 0 1
lala 5 2.4 first first 8 1 68 -8 -9.199999 0.599997758865356 0 1
lala 3 1.2 second second 13 1 69 6.6 6.18 0.499997854232788 0 1
lala 6 1.2 first first 8 1 70 -8 -7.999999 0.519997835159302 0 1
lala 2 1.2 first second 6 1 71 8 6.8 0.61999773979187 -0.25 -1
lala 2 1.2 first first 21 1 72 6.6 7.38 0.539997816085815 0.25 1
lala 1 1.2 first first 17 1 73 -8 -10.4 0.439997911453247 0.25 1
lala 4 1.2 second first 13 1 74 6.6 4.98 0.919997453689575 0 -1
lala 4 1.2 first first 3 1 75 -6.6 -7.38 1.41999697685242 -0.25 1
lala 3 1.2 first second 0 1 76 -8 -5.6 0.539997816085815 -0.25 -1
lala 3 1.2 second second 6 1 77 8 8 0.639997720718384 -0.25 1
lala 5 0.6 first first 2 1 78 -6.6 -6.42 0.519997835159302 -0.25 1
lala 5 1.2 second second 4 1 79 6.6 7.02 0.319998025894165 -0.25 1
lala 4 1.2 first first 23 1 80 8 6.8 2.83999586105347 0.25 1
lala 2 1.2 second second 9 1 81 -8 -9.2 0.379997968673706 0 1
lala 5 0.6 first second 3 1 82 -6.6 -6.78 1.15999722480774 -0.25 -1
lala 4 1.2 second second 0 1 83 -8 -6.8 0.39999794960022 -0.25 1
lala 2 1.2 second second 17 1 84 -8 -9.2 0.459997892379761 0.25 1
lala 5 0.6 second first 16 1 85 -8 -6.2 0.639997720718384 0.25 -1
lala 5 2.4 second first 15 1 86 8 4.4 1.17999720573425 0 -1
lala 3 1.2 second second 9 1 87 -8 -8 0.699997663497925 0 1
