subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 21 1 1 6.6 8.778 8.4800591468811 0.25 1 1
lala 1 1.2 first first 0 1 2 -8 -5.28 1.49999690055847 -0.25 0 1
lala 1 1.2 first first 9 1 3 -8 -10.64 0.859997510910034 0 1 1
lala 1 1.2 first first 14 1 4 8 5.28 2.37999629974365 0 0 1
lala 1 1.2 second first 16 1 5 -8 -5.28 1.15999722480774 0.25 0 -1
lala 2 1.2 first first 0 1 6 -8 -4.08 1.73999691009521 -0.25 0 1
lala 1 1.2 first second 12 1 7 6.6 4.356 1.77999687194824 0 0 -1
lala 2 1.2 first second 9 1 8 -8 -9.440001 1.3999969959259 0 1 -1
lala 3 1.2 first second 0 1 9 -8 -2.88 3.11999559402466 -0.25 0 -1
lala 1 1.2 first first 19 1 10 -6.6 -8.778 1.17999720573425 0.25 1 1
lala 1 1.2 first first 22 1 11 8 5.28 1.69999694824219 0.25 0 1
lala 3 1.2 first first 9 1 12 -8 -10.64 0.439997911453247 0 1 1
lala 4 1.2 first first 0 1 13 -8 -4.08 1.7199969291687 -0.25 0 1
lala 2 1.2 first first 16 1 14 -8 -6.48 1.25999712944031 0.25 0 1
lala 1 1.2 first first 6 1 15 8 5.28 3.0399956703186 -0.25 0 1
lala 1 1.2 first first 15 1 16 8 10.64 0.279998064041138 0 1 1
lala 2 1.2 first first 12 1 17 6.6 5.556 0.599997758865356 0 0 1
lala 3 1.2 second first 12 1 18 6.6 4.356 -2.40000009536743 0 0 -1
lala 2 1.2 first first 21 1 19 6.6 7.578 1.21999716758728 0.25 1 1
lala 1 1.2 first first 7 1 20 8 10.64 0.559997797012329 -0.25 1 1
lala 2 1.2 first second 22 1 21 8 4.08 0.459997892379761 0.25 0 -1
lala 1 1.2 first second 10 1 22 -6.6 -4.356 0.839997529983521 0 0 -1
lala 1 1.2 second second 3 1 23 -6.6 -8.778 -2.40000009536743 -0.25 1 1
lala 3 1.2 first first 21 1 24 6.6 6.378 0.459997892379761 0.25 1 1
lala 1 1.2 first second 2 1 25 -6.6 -4.356 0.919997453689575 -0.25 0 -1
lala 2 1.2 second second 19 1 26 -6.6 -7.578 0.819997549057007 0.25 1 1
lala 3 1.2 first second 16 1 27 -8 -5.280001 2.11999654769897 0.25 0 -1
lala 4 1.2 first second 12 1 28 6.6 5.556 2.81999588012695 0 0 -1
lala 3 1.2 first second 22 1 29 8 5.28 0.919997453689575 0.25 0 -1
lala 2 1.2 first second 2 1 30 -6.6 -5.556 0.699997663497925 -0.25 0 -1
lala 2 1.2 first first 15 1 31 8 9.440001 2.83999586105347 0 1 1
lala 2 1.2 first second 3 1 32 -6.6 -7.578 1.11999726295471 -0.25 1 -1
lala 1 1.2 second second 17 1 33 -8 -10.64 0.499997854232788 0.25 1 1
lala 3 1.2 first first 15 1 34 8 8.240001 1.81999683380127 0 1 1
lala 4 1.2 first first 9 1 35 -8 -9.440001 0.99999737739563 0 1 1
lala 3 1.2 first second 19 1 36 -6.6 -6.378 2.5999960899353 0.25 1 -1
lala 5 1.2 first first 12 1 37 6.6 6.756 1.35999703407288 0 0 1
lala 1 1.2 first first 4 1 38 6.6 4.356 2.21999645233154 -0.25 0 1
lala 4 1.2 first second 15 1 39 8 7.040001 1.59999680519104 0 1 -1
lala 2 1.2 second first 7 1 40 8 9.440001 3.09999561309814 -0.25 1 -1
lala 1 1.2 first first 11 1 41 -6.6 -8.778 1.65999698638916 0 1 1
lala 3 1.2 first second 7 1 42 8 10.64 4.21999454498291 -0.25 1 -1
lala 1 1.2 second first 8 1 43 -8 -5.28 -2.40000009536743 0 0 -1
lala 4 1.2 second second 16 1 44 -8 -6.48 -2.40000009536743 0.25 0 1
lala 1 1.2 first second 20 1 45 6.6 4.356 2.11999654769897 0.25 0 -1
lala 2 1.2 first first 10 1 46 -6.6 -5.556 4.17999458312988 0 0 1
lala 2 1.2 first first 8 1 47 -8 -6.48 0.499997854232788 0 0 1
lala 5 0.6 second second 16 1 48 -8 -5.880001 -2.40000009536743 0.25 0 1
lala 2 1.2 second second 17 1 49 -8 -9.440001 2.159996509552 0.25 1 1
lala 4 1.2 first second 19 1 50 -6.6 -7.578 1.41999697685242 0.25 1 -1
lala 5 0.6 first second 0 1 51 -8 -3.48 1.11999726295471 -0.25 0 -1
lala 4 1.2 first first 22 1 52 8 6.48 3.65999507904053 0.25 0 1
lala 5 1.2 first first 19 1 53 -6.6 -8.778 2.99999570846558 0.25 1 1
lala 1 1.2 first first 1 1 54 -8 -10.64 0.539997816085815 -0.25 1 1
lala 4 1.2 first first 7 1 55 8 11.84 0.839997529983521 -0.25 1 1
