subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 5 1 1 6.6 8.778 3.87999486923218 -0.25 1 1
lala 1 1.2 second first 20 1 2 6.6 4.356 4.17999458312988 0.25 0 -1
lala 1 1.2 second second 14 1 3 8 5.28 1.89999675750732 0 0 1
lala 1 1.2 first first 10 1 4 -6.6 -4.356 0.599997758865356 0 0 1
lala 1 1.2 first first 21 1 5 6.6 8.778 0.39999794960022 0.25 1 1
lala 1 1.2 first second 6 1 6 8 5.28 0.61999773979187 -0.25 0 -1
lala 2 1.2 first second 10 1 7 -6.6 -3.156 0.459997892379761 0 0 -1
lala 1 1.2 second first 9 1 8 -8 -10.64 0.579997777938843 0 1 -1
lala 2 1.2 second first 5 1 9 6.6 7.578 0.99999737739563 -0.25 1 -1
lala 1 1.2 second first 0 1 10 -8 -5.28 0.839997529983521 -0.25 0 -1
lala 1 1.2 second first 8 1 11 -8 -5.28 1.23999714851379 0 0 -1
lala 2 1.2 second first 14 1 12 8 4.08 4.15999460220337 0 0 -1
lala 1 1.2 second second 7 1 13 8 10.64 0.679997682571411 -0.25 1 1
lala 1 1.2 first first 3 1 14 -6.6 -8.778 0.599997758865356 -0.25 1 1
lala 2 1.2 second second 8 1 15 -8 -6.48 0.459997892379761 0 0 1
lala 3 1.2 second first 5 1 16 6.6 8.778 1.0999972820282 -0.25 1 -1
lala 2 1.2 first second 20 1 17 6.6 5.556 4.25999450683594 0.25 0 -1
lala 1 1.2 second first 12 1 18 6.6 4.356 1.33999705314636 0 0 -1
lala 1 1.2 second second 23 1 19 8 10.64 0.799997568130493 0.25 1 1
lala 3 1.2 second second 14 1 20 8 5.28 1.23999714851379 0 0 1
lala 1 1.2 second second 15 1 21 8 10.64 0.579997777938843 0 1 1
lala 2 1.2 first first 7 1 22 8 9.440001 2.79999589920044 -0.25 1 1
lala 2 1.2 first second 0 1 23 -8 -6.48 0.579997777938843 -0.25 0 -1
lala 1 1.2 first second 18 1 24 -6.6 -4.356 0.479997873306274 0.25 0 -1
lala 1 1.2 second second 13 1 25 6.6 8.778 0.39999794960022 0 1 1
lala 1 1.2 first second 4 1 26 6.6 4.356 0.599997758865356 -0.25 0 -1
lala 3 1.2 first first 0 1 27 -8 -7.68 1.81999683380127 -0.25 0 1
lala 3 1.2 second first 7 1 28 8 8.240001 0.719997644424438 -0.25 1 -1
lala 1 1.2 first first 17 1 29 -8 -10.64 0.519997835159302 0.25 1 1
lala 4 1.2 second second 0 1 30 -8 -6.48 1.33999705314636 -0.25 0 1
lala 2 1.2 first first 18 1 31 -6.6 -5.556 0.599997758865356 0.25 0 1
lala 2 1.2 second second 23 1 32 8 9.440001 0.439997911453247 0.25 1 1
lala 4 1.2 first first 5 1 33 6.6 9.978 0.539997816085815 -0.25 1 1
lala 5 1.2 first second 0 1 34 -8 -5.280001 0.559997797012329 -0.25 0 -1
lala 2 1.2 first first 3 1 35 -6.6 -7.578 0.39999794960022 -0.25 1 1
lala 3 1.2 second first 10 1 36 -6.6 -4.356 0.339998006820679 0 0 -1
lala 1 1.2 first first 11 1 37 -6.6 -8.778 0.459997892379761 0 1 1
lala 2 1.2 second second 9 1 38 -8 -11.84 0.39999794960022 0 1 1
lala 1 1.2 first first 19 1 39 -6.6 -8.778 0.359997987747192 0.25 1 1
lala 3 1.2 second second 8 1 40 -8 -5.280001 2.11999654769897 0 0 1
lala 3 1.2 first first 23 1 41 8 8.240001 0.61999773979187 0.25 1 1
lala 4 1.2 second first 14 1 42 8 4.08 0.39999794960022 0 0 -1
lala 3 1.2 second first 18 1 43 -6.6 -4.356 0.61999773979187 0.25 0 -1
lala 4 1.2 first second 23 1 44 8 7.040001 2.75999593734741 0.25 1 -1
lala 2 1.2 first first 11 1 45 -6.6 -7.578 0.39999794960022 0 1 1
lala 5 0.6 second second 14 1 46 8 4.68 0.479997873306274 0 0 1
lala 3 1.2 second second 20 1 47 6.6 6.756 0.519997835159302 0.25 0 1
lala 3 1.2 second first 3 1 48 -6.6 -6.378 11.4401268959045 -0.25 1 -1
lala 6 0.3 second first 14 1 49 8 4.38 0.419997930526733 0 0 -1
lala 2 1.2 first second 4 1 50 6.6 5.556 1.11999726295471 -0.25 0 -1
lala 2 1.2 first first 17 1 51 -8 -9.440001 1.23999714851379 0.25 1 1
lala 2 1.2 second second 19 1 52 -6.6 -7.578 0.579997777938843 0.25 1 1
lala 3 1.2 second second 11 1 53 -6.6 -6.378 0.759997606277466 0 1 1
lala 4 1.2 first second 8 1 54 -8 -4.080001 0.359997987747192 0 0 -1
lala 1 1.2 first second 16 1 55 -8 -5.28 0.699997663497925 0.25 0 -1
lala 4 1.2 second second 7 1 56 8 9.440001 0.439997911453247 -0.25 1 1
lala 1 1.2 second first 2 1 57 -6.6 -4.356 1.03999733924866 -0.25 0 -1
lala 1 1.2 first second 22 1 58 8 5.28 0.879997491836548 0.25 0 -1
lala 2 1.2 second second 15 1 59 8 9.440001 0.459997892379761 0 1 1
lala 3 1.2 second second 4 1 60 6.6 6.756 1.23999714851379 -0.25 0 1
lala 2 1.2 first first 6 1 61 8 6.48 1.45999693870544 -0.25 0 1
lala 4 1.2 second second 3 1 62 -6.6 -7.578 1.05999732017517 -0.25 1 1
lala 4 1.2 second second 10 1 63 -6.6 -5.556 0.659997701644897 0 0 1
lala 5 0.6 first second 10 1 64 -6.6 -4.956 0.459997892379761 0 0 -1
lala 2 1.2 second second 22 1 65 8 6.48 0.539997816085815 0.25 0 1
lala 4 1.2 first first 4 1 66 6.6 5.556 0.759997606277466 -0.25 0 1
lala 5 0.6 second second 23 1 67 8 7.640001 0.359997987747192 0.25 1 1
lala 4 1.2 second second 20 1 68 6.6 5.556 2.53999614715576 0.25 0 1
lala 6 0.3 second first 10 1 69 -6.6 -5.256 0.539997816085815 0 0 -1
lala 6 0.3 second second 23 1 70 8 7.340001 0.339998006820679 0.25 1 1
lala 6 0.6 first first 0 1 71 -8 -5.880001 0.359997987747192 -0.25 0 1
lala 2 1.2 first second 2 1 72 -6.6 -5.556 1.49999690055847 -0.25 0 -1
lala 1 1.2 first first 1 1 73 -8 -10.64 0.479997873306274 -0.25 1 1
lala 7 0.3 second first 10 1 74 -6.6 -5.556 0.499997854232788 0 0 -1
lala 4 1.2 second second 18 1 75 -6.6 -5.556 0.819997549057007 0.25 0 1
lala 3 1.2 first first 17 1 76 -8 -8.240001 0.279998064041138 0.25 1 1
lala 5 1.2 first first 4 1 77 6.6 4.356 0.61999773979187 -0.25 0 1
lala 2 1.2 first first 12 1 78 6.6 5.556 1.45999693870544 0 0 1
lala 7 0.3 second first 23 1 79 8 7.04 0.479997873306274 0.25 1 -1
lala 2 1.2 second second 1 1 80 -8 -9.440001 0.519997835159302 -0.25 1 1
lala 3 1.2 second second 9 1 81 -8 -10.64 0.719997644424438 0 1 1
lala 3 1.2 second second 22 1 82 8 5.280001 1.55999684333801 0.25 0 1
