subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 11 1 1 -6.6 -8.778 0.379997968673706 0 1 1
lala 1 1.2 second first 20 1 2 6.6 4.356 0.359997987747192 0.25 0 -1
lala 1 1.2 second second 1 1 3 -8 -10.64 0.679997682571411 -0.25 1 1
lala 1 1.2 first first 22 1 4 8 5.28 0.579997777938843 0.25 0 1
lala 1 1.2 second second 7 1 5 8 10.64 0.419997930526733 -0.25 1 1
lala 1 1.2 first first 8 1 6 -8 -5.28 0.499997854232788 0 0 1
lala 1 1.2 first first 15 1 7 8 10.64 0.759997606277466 0 1 1
lala 1 1.2 first first 23 1 8 8 10.64 0.299998044967651 0.25 1 1
lala 1 1.2 second first 16 1 9 -8 -5.28 3.13999557495117 0.25 0 -1
lala 1 1.2 first first 5 1 10 6.6 8.778 0.39999794960022 -0.25 1 1
lala 2 1.2 first first 11 1 11 -6.6 -7.578 0.359997987747192 0 1 1
lala 2 1.2 first first 16 1 12 -8 -6.48 2.5999960899353 0.25 0 1
lala 1 1.2 first first 21 1 13 6.6 8.778 1.65999698638916 0.25 1 1
lala 1 1.2 first first 9 1 14 -8 -10.64 2.67999601364136 0 1 1
lala 1 1.2 second first 6 1 15 8 5.28 2.01999664306641 -0.25 0 -1
lala 1 1.2 second second 17 1 16 -8 -10.64 0.739997625350952 0.25 1 1
lala 2 1.2 first first 20 1 17 6.6 5.556 0.979997396469116 0.25 0 1
lala 2 1.2 first second 6 1 18 8 6.48 2.11999654769897 -0.25 0 -1
lala 1 1.2 second first 2 1 19 -6.6 -4.356 3.15999555587769 -0.25 0 -1
lala 1 1.2 first second 10 1 20 -6.6 -4.356 3.07999563217163 0 0 -1
lala 1 1.2 first second 12 1 21 6.6 4.356 2.51999616622925 0 0 -1
lala 1 1.2 second second 3 1 22 -6.6 -8.778 2.95999574661255 -0.25 1 1
lala 3 1.2 first second 16 1 23 -8 -5.280001 0.599997758865356 0.25 0 -1
lala 2 1.2 first second 10 1 24 -6.6 -5.556 1.69999694824219 0 0 -1
lala 1 1.2 first second 4 1 25 6.6 4.356 0.479997873306274 -0.25 0 -1
lala 1 1.2 second second 19 1 26 -6.6 -8.778 0.439997911453247 0.25 1 1
lala 2 1.2 first first 23 1 27 8 9.440001 0.299998044967651 0.25 1 1
lala 3 1.2 first first 10 1 28 -6.6 -6.756 0.279998064041138 0 0 1
lala 4 1.2 second first 16 1 29 -8 -6.48 0.339998006820679 0.25 0 -1
lala 4 1.2 second second 10 1 30 -6.6 -5.556 0.459997892379761 0 0 1
lala 2 1.2 first first 7 1 31 8 9.440001 0.479997873306274 -0.25 1 1
lala 2 1.2 first first 1 1 32 -8 -9.440001 2.09999656677246 -0.25 1 1
lala 2 1.2 first first 21 1 33 6.6 7.578 2.01999664306641 0.25 1 1
lala 2 1.2 second first 8 1 34 -8 -4.08 0.299998044967651 0 0 -1
