subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 15 1 1 8 10.4 114.072465419769 0 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 17 1 2 -8 -10.4 2.19999647140503 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 8 1 3 -8 -5.6 0.959997415542603 0 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second first 6 1 4 8 5.6 2.81999588012695 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second second 19 1 5 -6.6 -8.58 0.899997472763062 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 1 1 6 -8 -10.4 2.53999614715576 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second first 18 1 7 -6.6 -4.62 1.7199969291687 0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 first second 2 1 8 -6.6 -4.62 1.79999685287476 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second second 7 1 9 8 10.4 1.25999712944031 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second first 20 1 10 6.6 4.62 3.21999549865723 0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second first 4 1 11 6.6 4.62 1.43999695777893 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 first second 18 1 12 -6.6 -5.82 1.8599967956543 0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second second 23 1 13 8 10.4 1.21999716758728 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second first 0 1 14 -8 -5.6 2.35999631881714 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 first first 11 1 15 -6.6 -8.58 1.01999735832214 0 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 first first 6 1 16 8 6.8 1.31999707221985 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 17 1 17 -8 -9.2 0.879997491836548 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 20 1 18 6.6 5.82 0.919997453689575 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 8 1 19 -8 -4.4 1.69999694824219 0 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 first first 3 1 20 -6.6 -8.58 0.659997701644897 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 23 1 21 8 9.2 0.839997529983521 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 first second 6 1 22 8 5.6 1.11999726295471 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second second 5 1 23 6.6 8.58 0.919997453689575 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 first first 22 1 24 8 5.6 3.27999544143677 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 5 1 25 6.6 7.38 0.559997797012329 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 first first 13 1 26 6.6 8.58 0.719997644424438 0 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second second 23 1 27 8 8 0.679997682571411 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 first first 7 1 28 8 9.2 0.939997434616089 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 12 1 29 6.6 4.62 2.01999664306641 0 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 14 1 30 8 5.6 1.29999709129334 0 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 first first 13 1 31 6.6 7.38 0.859997510910034 0 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 15 1 32 8 9.2 0.61999773979187 0 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 first second 14 1 33 8 4.4 0.719997644424438 0 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 first first 3 1 34 -6.6 -7.38 1.21999716758728 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 first first 5 1 35 6.6 6.18 0.979997396469116 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second first 10 1 36 -6.6 -4.62 2.31999635696411 0 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 second second 11 1 37 -6.6 -7.38 0.779997587203979 0 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 1 1 38 -8 -9.2 0.499997854232788 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 4 1.2 second first 23 1 39 8 6.8 2.33999633789063 0.25 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 second first 12 1 40 6.6 3.42 1.3999969959259 0 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 second second 16 1 41 -8 -5.6 5.3799934387207 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 second second 19 1 42 -6.6 -7.38 0.659997701644897 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 2 1.2 first second 16 1 43 -8 -4.4 0.719997644424438 0.25 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 second first 10 1 44 -6.6 -5.82 1.89999675750732 0 System.Collections.Generic.List`1[System.Single] -1
lala 1 1.2 first first 9 1 45 -8 -10.4 0.919997453689575 0 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second first 3 1 46 -6.6 -6.18 2.97999572753906 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 4 1.2 second first 6 1 47 8 6.8 1.67999696731567 -0.25 System.Collections.Generic.List`1[System.Single] -1
lala 3 1.2 first second 14 1 48 8 5.599999 1.69999694824219 0 System.Collections.Generic.List`1[System.Single] -1
lala 2 1.2 second second 0 1 49 -8 -6.8 2.159996509552 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 1 1.2 second second 21 1 50 6.6 8.58 0.99999737739563 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second second 13 1 51 6.6 6.18 0.519997835159302 0 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second second 1 1 52 -8 -8 0.799997568130493 -0.25 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second first 12 1 53 6.6 4.62 3.01999568939209 0 System.Collections.Generic.List`1[System.Single] -1
lala 3 1.2 first first 18 1 54 -6.6 -7.02 2.07999658584595 0.25 System.Collections.Generic.List`1[System.Single] 1
lala 3 1.2 second second 11 1 55 -6.6 -6.18 1.05999732017517 0 System.Collections.Generic.List`1[System.Single] 1
