subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first first 16 1 1 -8 -5.28 158.877633571625 0.25 0 1
lala 1 1.2 first first 12 1 2 6.6 4.356 3.91999483108521 0 0 1
lala 1 1.2 first first 19 1 3 -6.6 -8.778 2.65999603271484 0.25 1 1
lala 1 1.2 first second 14 1 4 8 5.28 3.21999549865723 0 0 -1
lala 1 1.2 first first 6 1 5 8 5.28 11.2601227760315 -0.25 0 1
lala 1 1.2 first second 8 1 6 -8 -5.28 1.91999673843384 0 0 -1
lala 1 1.2 first first 21 1 7 6.6 8.778 1.93999671936035 0.25 1 1
lala 1 1.2 first first 1 1 8 -8 -10.64 4.53999423980713 -0.25 1 1
lala 2 1.2 first first 6 1 9 8 4.08 1.8599967956543 -0.25 0 1
lala 1 1.2 second first 7 1 10 8 10.64 -2.40000009536743 -0.25 1 -1
lala 1 1.2 second second 17 1 11 -8 -10.64 8.68006372451782 0.25 1 1
lala 2 1.2 second first 16 1 12 -8 -4.08 1.49999690055847 0.25 0 -1
lala 1 1.2 second second 10 1 13 -6.6 -4.356 0.979997396469116 0 0 1
lala 2 1.2 first second 10 1 14 -6.6 -3.156 1.21999716758728 0 0 -1
lala 2 1.2 first first 21 1 15 6.6 7.578 1.97999668121338 0.25 1 1
lala 1 1.2 first first 23 1 16 8 10.64 1.11999726295471 0.25 1 1
lala 3 1.2 first second 16 1 17 -8 -5.28 2.91999578475952 0.25 0 -1
lala 2 1.2 first first 23 1 18 8 9.440001 1.03999733924866 0.25 1 1
lala 1 1.2 first first 2 1 19 -6.6 -4.356 1.3999969959259 -0.25 0 1
lala 3 1.2 second first 21 1 20 6.6 6.378 1.31999707221985 0.25 1 -1
lala 1 1.2 first second 18 1 21 -6.6 -4.356 1.21999716758728 0.25 0 -1
lala 1 1.2 first second 20 1 22 6.6 4.356 1.33999705314636 0.25 0 -1
lala 2 1.2 first second 20 1 23 6.6 5.556 1.37999701499939 0.25 0 -1
lala 4 1.2 first first 21 1 24 6.6 7.578 0.919997453689575 0.25 1 1
lala 2 1.2 first first 2 1 25 -6.6 -3.156 0.659997701644897 -0.25 0 1
lala 2 1.2 second second 12 1 26 6.6 3.156 1.69999694824219 0 0 1
lala 2 1.2 first second 18 1 27 -6.6 -5.556 0.839997529983521 0.25 0 -1
lala 3 1.2 first second 23 1 28 8 8.240001 0.579997777938843 0.25 1 -1
lala 1 1.2 first first 9 1 29 -8 -10.64 0.519997835159302 0 1 1
lala 3 1.2 first second 18 1 30 -6.6 -6.756 3.99999475479126 0.25 0 -1
lala 4 1.2 first second 18 1 31 -6.6 -7.955999 1.31999707221985 0.25 0 -1
lala 4 1.2 second first 23 1 32 8 9.440001 1.77999687194824 0.25 1 -1
lala 3 1.2 first first 10 1 33 -6.6 -4.356 0.879997491836548 0 0 1
lala 1 1.2 first first 4 1 34 6.6 4.356 0.979997396469116 -0.25 0 1
lala 1 1.2 second second 0 1 35 -8 -5.28 1.19999718666077 -0.25 0 1
lala 2 1.2 second first 4 1 36 6.6 3.156 -2.40000009536743 -0.25 0 -1
lala 1 1.2 first first 13 1 37 6.6 8.778 1.45999693870544 0 1 1
lala 4 1.2 first second 16 1 38 -8 -6.48 1.75999689102173 0.25 0 -1
