subject PestNr Step_Size_OnTrial Response_Interval Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation
lala 1 1.2 first second 23 1 1 8 10.64 21.8603644371033 0.25 1 -1
lala 1 1.2 first second 18 1 2 -6.6 -4.356 2.93999576568604 0.25 0 -1
lala 1 1.2 second second 5 1 3 6.6 8.778 0.559997797012329 -0.25 1 1
lala 1 1.2 second second 14 1 4 8 5.28 0.439997911453247 0 0 1
lala 1 1.2 first first 17 1 5 -8 -10.64 0.739997625350952 0.25 1 1
lala 1 1.2 first first 8 1 6 -8 -5.28 0.679997682571411 0 0 1
lala 1 1.2 first first 7 1 7 8 10.64 0.99999737739563 -0.25 1 1
lala 2 1.2 first first 23 1 8 8 11.84 0.859997510910034 0.25 1 1
lala 2 1.2 second first 5 1 9 6.6 7.578 0.719997644424438 -0.25 1 -1
lala 1 1.2 first first 19 1 10 -6.6 -8.778 1.19999718666077 0.25 1 1
lala 1 1.2 second second 13 1 11 6.6 8.778 0.899997472763062 0 1 1
lala 2 1.2 second first 8 1 12 -8 -4.08 0.859997510910034 0 0 -1
lala 1 1.2 first first 3 1 13 -6.6 -8.778 0.539997816085815 -0.25 1 1
lala 1 1.2 first second 22 1 14 8 5.28 1.55999684333801 0.25 0 -1
lala 1 1.2 first first 10 1 15 -6.6 -4.356 0.819997549057007 0 0 1
lala 2 1.2 second second 7 1 16 8 9.440001 1.01999735832214 -0.25 1 1
lala 2 1.2 second first 10 1 17 -6.6 -3.156 0.599997758865356 0 0 -1
lala 3 1.2 second second 5 1 18 6.6 8.778 1.01999735832214 -0.25 1 1
lala 1 1.2 second first 2 1 19 -6.6 -4.356 0.899997472763062 -0.25 0 -1
lala 3 1.2 second second 23 1 20 8 10.64 0.519997835159302 0.25 1 1
lala 1 1.2 second second 21 1 21 6.6 8.778 0.699997663497925 0.25 1 1
lala 1 1.2 second second 1 1 22 -8 -10.64 0.779997587203979 -0.25 1 1
lala 1 1.2 first first 0 1 23 -8 -5.28 2.27999639511108 -0.25 0 1
lala 3 1.2 first second 8 1 24 -8 -5.28 0.959997415542603 0 0 -1
lala 1 1.2 first first 9 1 25 -8 -10.64 0.279998064041138 0 1 1
lala 3 1.2 first second 10 1 26 -6.6 -4.356 0.959997415542603 0 0 -1
lala 1 1.2 first first 11 1 27 -6.6 -8.778 0.39999794960022 0 1 1
lala 1 1.2 second second 15 1 28 8 10.64 1.17999720573425 0 1 1
lala 2 1.2 second second 3 1 29 -6.6 -7.578 0.859997510910034 -0.25 1 1
lala 1 1.2 second first 16 1 30 -8 -5.28 0.519997835159302 0.25 0 -1
lala 2 1.2 first second 0 1 31 -8 -4.08 0.459997892379761 -0.25 0 -1
lala 2 1.2 first first 2 1 32 -6.6 -5.556 1.19999718666077 -0.25 0 1
lala 2 1.2 first first 1 1 33 -8 -9.440001 0.859997510910034 -0.25 1 1
lala 2 1.2 second first 14 1 34 8 4.08 0.539997816085815 0 0 -1
lala 3 1.2 first first 3 1 35 -6.6 -6.378 1.21999716758728 -0.25 1 1
lala 3 1.2 second first 2 1 36 -6.6 -4.356 2.33999633789063 -0.25 0 -1
lala 3 1.2 first first 1 1 37 -8 -8.240001 0.559997797012329 -0.25 1 1
lala 4 1.2 first second 8 1 38 -8 -6.48 1.11999726295471 0 0 -1
lala 2 1.2 first second 22 1 39 8 6.48 4.25999450683594 0.25 0 -1
lala 4 1.2 second second 1 1 40 -8 -7.040001 0.61999773979187 -0.25 1 1
lala 2 1.2 first first 19 1 41 -6.6 -7.578 0.599997758865356 0.25 1 1
lala 3 1.2 second first 14 1 42 8 5.28 0.659997701644897 0 0 -1
lala 4 1.2 first first 23 1 43 8 9.440001 0.719997644424438 0.25 1 1
lala 4 1.2 first first 10 1 44 -6.6 -5.556 0.959997415542603 0 0 1
lala 5 0.6 first first 10 1 45 -6.6 -4.956 0.499997854232788 0 0 1
lala 1 1.2 second first 12 1 46 6.6 4.356 0.359997987747192 0 0 -1
lala 6 0.6 second second 10 1 47 -6.6 -4.356 1.27999711036682 0 0 1
lala 2 1.2 second first 12 1 48 6.6 5.556 1.73999691009521 0 0 -1
lala 4 1.2 second second 14 1 49 8 6.48 0.779997587203979 0 0 1
lala 5 0.6 first second 14 1 50 8 5.88 2.19999647140503 0 0 -1
lala 2 1.2 first first 15 1 51 8 9.440001 0.61999773979187 0 1 1
lala 2 1.2 first first 13 1 52 6.6 7.578 0.439997911453247 0 1 1
lala 5 2.4 first first 23 1 53 8 7.04 0.919997453689575 0.25 1 1
lala 2 1.2 first first 18 1 54 -6.6 -5.556 1.61999702453613 0.25 0 1
lala 3 1.2 first second 19 1 55 -6.6 -6.378 0.739997625350952 0.25 1 -1
lala 5 2.4 second first 1 1 56 -8 -4.640001 1.99999666213989 -0.25 1 -1
lala 6 0.3 first second 14 1 57 8 6.18 1.17999720573425 0 0 -1
lala 1 1.2 first second 4 1 58 6.6 4.356 2.51999616622925 -0.25 0 -1
lala 3 1.2 second second 0 1 59 -8 -5.28 2.13999652862549 -0.25 0 1
lala 3 1.2 second second 7 1 60 8 8.240001 1.77999687194824 -0.25 1 1
lala 4 1.2 first first 0 1 61 -8 -4.08 3.37999534606934 -0.25 0 1
lala 3 1.2 second second 18 1 62 -6.6 -4.356 1.93999671936035 0.25 0 1
lala 2 1.2 second second 17 1 63 -8 -9.440001 0.959997415542603 0.25 1 1
